chromosome	start	end	num.mark	total_copy_number	total_copy_number_logr	logr	logr.sd
chr1	1380001	248845001	5087	3	2.94703128225201	0.00683277302741814	0.783917430457122
chr2	20001	241645001	5328	3	2.92906631331835	-0.0012394309002112	0.782705254401166
chr3	20001	55090001	1317	3	3.04373772624329	0.0495265664005312	0.747137247028654
chr3	55150001	84380001	683	4	3.74527640882442	0.326359152199686	0.681060295092023
chr3	84410001	86970001	50	2	2.17810813564686	-0.386846133887902	0.71641117199503
chr3	87145001	138985001	1019	4	3.75360040372725	0.329344854781644	0.77574911299995
chr3	139015001	197885001	1264	3	3.1856628470412	0.109980885973407	0.755187786818183
chr4	75001	189150001	3772	3	2.92572620439206	-0.00274523496492806	0.780804568348871
chr5	110001	181185001	3838	3	3.15089895755238	0.0954054723128244	0.70384229127969
chr6	160001	170160001	3739	3	3.04236962027162	0.0489313039990365	0.781224380873733
chr7	305001	106435001	2029	3	3.09643829695008	0.0722715942775964	0.764737657202048
chr7	106465001	106615001	6	1	0.805512495414984	-1.57144170794687	2.34607167509143
chr7	106665001	159255001	1085	3	3.15403803234281	0.0967276530748264	0.768449390579457
chr8	240001	144990001	3094	3	2.90947640968921	-0.0100935529612562	0.783912740609595
chr9	210001	21305001	478	4	3.69383313018709	0.307768784801294	0.679743606902325
chr9	21335001	138040001	2019	3	3.03757577629565	0.0468435640291103	0.731169369797855
chr10	80001	133440001	3158	3	2.96756228591126	0.0160030071712616	0.784557798538196
chr11	205001	134690001	2930	3	2.90575748433586	-0.0117805639906813	0.781116491907614
chr12	180001	133115001	2925	3	2.97041547694248	0.0172727928716206	0.786075819761036
chr13	18940001	99395001	1706	3	3.05276409796655	0.0534477935253133	0.783985060400251
chr13	99425001	99675001	7	1	0.834371291271679	-1.53333606406982	1.86381321144685
chr13	99705001	114265001	313	3	3.278434720135	0.148171439317328	0.715972622083835
chr14	19970001	105200001	1943	3	2.98357745555808	0.0231159810192448	0.781223755987335
chr15	19950001	101640001	1827	3	3.00389338157781	0.0320889229971503	0.754013803181743
chr16	40001	89955001	1694	3	2.9831558420309	0.0229291744466027	0.781700493976456
chr17	410001	82855001	1621	3	3.17169881514417	0.104143886568014	0.731104945586392
chr18	155001	80175001	1656	3	3.03694696665784	0.0465694904154563	0.777435088054589
chr19	2065001	42620001	588	3	2.97528619707078	0.0194378817574533	0.827975609330671
chr19	42670001	43255001	18	1	1.09324306195353	-1.23019358137333	0.913103502303012
chr19	43285001	58340001	204	3	2.90070506885533	-0.0140756494530086	0.747996500481366
chr20	85001	63845001	1475	3	2.93128679470893	-0.000239251752734783	0.786371879254588
chr21	13920001	46615001	722	3	3.44625434309926	0.214787882480568	0.791442934538909
chr22	16120001	50570001	736	3	2.90832259065067	-0.0106167472709737	0.843763987229612
chrX	2790001	23595001	537	1	1.48729503361316	-0.980871356711738	1.09074251582231
chrX	23650001	26000001	57	3	2.68021880995286	-0.186174031347511	0.788551280528937
chrX	26030001	35615001	192	1	1.45830256332263	-1.0068652674239	1.08194608955309
chrX	35645001	99635001	1217	2	1.93187155608969	-0.63171948055898	0.95373204038282
chrX	99665001	114100001	295	2	1.63934865499135	-0.851721884877397	1.09213928898274
chrX	114175001	118105001	72	1	0.89655646429147	-1.63339107185938	1.29280760298895
chrX	118135001	155610001	743	2	1.68740319644887	-0.813198439920971	1.09214133949153
