chromosome	start	end	num.mark	total_copy_number	total_copy_number_logr	logr	logr.sd
chr1	1380001	248845001	5087	3	3.026195499802	0.0515368231698401	1.07479244814509
chr2	20001	241645001	5328	3	2.93876504727045	0.00924165178002242	1.07406368681244
chr3	20001	197885001	4333	3	3.09519322067225	0.0840611048914615	1.0782471292354
chr4	75001	189150001	3772	3	2.95917932650351	0.0192287575103952	1.07768013997115
chr5	110001	181185001	3838	3	3.00021944173086	0.0390996569220919	1.05360411507417
chr6	160001	170160001	3739	3	3.02115721217687	0.0491328905403678	1.07224654981478
chr7	305001	159255001	3120	3	2.84048144668207	-0.0398328894198925	1.03704811537769
chr8	240001	14570001	267	3	2.90405233898665	-0.00790091421652073	1.07383001144719
chr8	14635001	15235001	11	1	0.859292997986361	-1.76474632486714	0.0102157124253446
chr8	15285001	144990001	2816	3	2.99051718435299	0.0344266386553301	1.08990827510966
chr9	210001	138040001	2497	3	2.98537577133205	0.0319441668461253	1.08665325735559
chr10	80001	133440001	3158	3	2.96989647671572	0.0244442739975663	1.08396481114821
chr11	205001	134690001	2930	3	2.90926900198997	-0.00531166947204477	1.06513769992547
chr12	180001	133115001	2925	3	3.04020383877848	0.0581996872398939	1.08258117715002
chr13	18940001	114265001	2026	3	3.08579637847564	0.0796744972571963	1.07491656021967
chr14	19970001	105200001	1943	3	3.15560996767343	0.111950530645152	1.12575824098404
chr15	19950001	101640001	1827	3	3.13971506759977	0.104665269880153	1.12347931175418
chr16	40001	89955001	1694	3	2.99151243822954	0.0349066923949388	1.10172212797005
chr17	410001	82855001	1621	3	3.08759008683112	0.080512861819859	1.09313779541278
chr18	155001	45930001	900	3	3.05984042600308	0.0674880476633087	1.10545126969787
chr18	45960001	46660001	23	1	1.38146598342117	-1.07976833077233	1.2421183346806
chr18	46690001	80175001	733	3	2.89803086207409	-0.0108954103994925	1.11429459217196
chr19	2065001	58340001	810	3	3.09520171670893	0.0840650649586658	1.1106128711043
chr20	85001	63845001	1475	3	3.0433607383021	0.0596969816758841	1.10923954749848
chr21	13920001	46615001	722	3	3.07213341519807	0.073272501011449	1.08986294796922
chr22	16120001	50570001	736	3	3.05572482979155	0.0655462643962953	1.09355158854726
chrX	2790001	155610001	3113	2	1.71500760329088	-0.767753396668878	1.87501830741975
