chromosome	start	end	num.mark	total_copy_number	total_copy_number_logr	logr	logr.sd
chr1	1380001	248845001	5087	4	4.00171223876937	0.0544552119266451	0.747705808259722
chr2	20001	241645001	5328	4	4.02655167565979	0.0629633782377979	0.737728502596212
chr3	20001	197885001	4333	4	4.0763844439494	0.0798825919639967	0.726914190162796
chr4	75001	189150001	3772	4	4.0452188225782	0.0693245100537273	0.729452116302125
chr5	110001	181185001	3838	4	3.94957217451495	0.0364309654602497	0.758467107959868
chr6	160001	170160001	3739	4	4.04347349029452	0.0687309470626125	0.697487884727857
chr7	305001	159255001	3120	4	3.99935133648318	0.0536439229434717	0.760932714482971
chr8	240001	144990001	3094	4	3.93685216533639	0.0319994163368763	0.767895418250791
chr9	210001	138040001	2497	4	3.96138384084956	0.0405339017149334	0.778519886260986
chr10	80001	133440001	3158	4	3.94329691816523	0.0342464177365569	0.780341122571338
chr11	205001	134690001	2930	4	3.93021360029784	0.0296811761714946	0.776146913379587
chr12	180001	84420001	1752	4	4.0194840372098	0.060547627460931	0.76790956627139
chr12	84465001	84930001	6	1	0.676421567535331	-2.20969281314307	0.393194683952745
chr12	84975001	133115001	1167	4	4.01543285793579	0.0591610900223411	0.744676995066916
chr13	18940001	114265001	2026	4	3.96834276152805	0.0429457223845006	0.715425817217286
chr14	19970001	105200001	1943	4	4.00169547653159	0.0544494534405281	0.748736887851768
chr15	19950001	101640001	1827	4	4.13330737832309	0.098969356877983	0.758199820377749
chr16	40001	89955001	1694	4	3.85059575771723	0.00158379735453318	0.705558569071155
chr17	410001	82855001	1621	4	3.90902789104922	0.0222579443288157	0.760172216950872
chr18	155001	80175001	1656	4	4.14164862905685	0.101745160106723	0.696538231300008
chr19	2065001	58340001	810	4	3.83868950539618	-0.00266538954142823	0.767301260535241
chr20	85001	63845001	1475	4	3.96010593803987	0.0400905680163818	0.799054452764906
chr21	13920001	46615001	722	4	4.08047907851915	0.0812640199906135	0.721673910703357
chr22	16120001	50570001	736	4	3.97520953099217	0.0453216596314879	0.768848098955059
chrX	2790001	155610001	3113	2	1.94216773875546	-0.986442475932068	1.09048293716785
